DAY,AMOUNT
1,781704
2,2792406
3,1412
4,0
5,10015
6,0
7,13
8,0
9,60
10,3
11,212
12,0
13,1919
14,11
15,36
16,176
17,1524
18,0
19,14
20,14
21,4371
22,636
23,1088
24,0
25,344
26,65
27,30
28,0
29,1521
30,0
31,10
32,3
33,10855
34,5
35,0
36,1089
37,2587
38,104
39,0
40,1773
41,0
42,2100
43,50171
44,1420
45,1795
46,4088
47,0
48,1559
49,2
50,350
51,32
52,1763
53,0
54,524
55,0
56,788
57,0
58,0
59,2
60,62
61,0
62,0
63,14
64,130
65,7
66,0
67,0
68,0
69,0
70,745
71,0
72,2952
73,20
74,2
75,9
76,0
77,439
78,3
79,39
80,8
81,4
82,37
83,9
84,0
85,0
86,12
87,17
88,0
89,170
90,0
91,70
92,338
93,7
94,14
95,10289
96,8
97,0
98,0
99,0
100,53
101,0
102,42
103,0
104,30
105,0
106,16
107,41
108,0
109,0
110,162
111,0
112,5
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,12
129,594
130,0
131,0
132,2
133,0
134,0
135,0
136,3069
137,103
138,0
139,0
140,38
141,3
142,0
143,36
144,2
145,648
146,0
147,10
148,0
149,0
150,1363
151,0
152,0
153,0
154,0
155,0
156,0
157,71
158,1782
159,0
160,82
161,13
162,0
163,103
164,263
165,26
166,96
167,7
168,108
169,0
170,0
171,0
172,0
173,0
174,0
175,143
176,39
177,5
178,2016
179,2245
180,558
181,3
182,10798
183,1489
184,3568
185,0
186,24
187,0
188,256
189,144
190,52
191,68
192,1517
193,2318
194,0
195,11
196,192
197,6
198,6
199,4
200,110
201,138
202,274
203,288
204,21
205,228
206,0
207,47
208,5544
209,0
210,1228
211,0
212,0
213,0
214,125
215,0
216,34
217,165
218,1020
219,3653
220,75
221,0
222,1705
223,28
224,50
225,42
226,0
227,15
228,8
229,36
230,47
231,53
232,1074
233,4136
234,211
235,4071
236,2
237,0
238,95
239,5900
240,42
241,8
242,0
243,177
244,19
245,2
246,3
247,2
248,188
249,56
250,0
251,0
252,404
253,1318
254,50773
255,0
256,95
257,0
258,106
259,77
260,24
261,0
262,0
263,5
264,0
265,0
266,0
267,710
268,8
269,4256
270,0
271,0
272,7
273,4
274,0
275,5
276,0
277,0
278,4101
279,19851
280,2
281,0
282,0
283,160
284,10
285,2
286,0
287,2389
288,18
289,2
290,592
291,2
292,0
293,0
294,396
295,0
296,0
297,0
298,34
299,6
300,0
301,32
302,0
303,0
304,0
305,0
306,3383
307,0
308,0
309,4
310,72
311,223
312,12
313,0
314,12
315,3
316,0
317,96
318,0
319,6
320,0
321,0
322,0
323,37
324,1353
325,0
326,0
327,35
328,19
329,0
330,0
331,0
332,39
333,0
334,0
335,0
336,147
337,0
338,0
339,0
340,0
341,0
342,6
343,0
344,9
345,275
346,0
347,0
348,0
349,49
350,5
351,0
352,369
353,0
354,3
355,52
356,0
357,0
358,0
359,0
360,99
361,0
362,0
363,0
364,0
365,0
366,147
367,0
368,2148
369,0
370,2620
371,0
372,180
373,6
374,62
375,7
376,34
377,22
378,22
379,1894
380,0
381,113
382,0
383,1835
384,12
385,0
386,108
387,389
388,82
389,24
390,0
391,6
392,0
393,372
394,11465
395,149
396,15
397,127
398,87
399,25221
400,24
401,84
402,30
403,3181
404,26
405,0
406,0
407,33
408,59
409,6
410,36
411,0
412,0
413,92
414,654
415,15
416,12
417,4
418,0
419,0
420,0
421,0
422,30
423,0
424,103
425,1660
426,0
427,41
428,1393
429,133
430,3842
431,2311
432,13675
433,2
434,82
435,15449
436,15445
437,47
438,203
439,75
440,0
441,0
442,0
443,0
444,0
445,2624
446,1240
447,0
448,1237
449,0
450,15
451,58
452,0
453,0
454,34
455,0
456,105
457,76
458,9677
459,70
460,3481
461,53
462,1876
463,4
464,0
465,19
466,17
467,125
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,2
481,0
482,0
483,0
484,0
485,82
486,2
487,0
488,1265
489,7
490,0
491,8
492,0
493,0
494,0
495,434
496,14
497,0
498,90
499,0
500,0
501,0
502,0
503,0
504,49
505,0
506,64
507,156
508,0
509,34
510,0
511,122
512,0
513,0
514,2
515,0
516,5815
517,0
518,0
519,0
520,0
521,0
522,7
523,0
524,0
525,0
526,19403
527,0
528,0
529,0
530,9870
531,3
532,0
533,0
534,0
535,40
536,0
537,0
538,0
539,0
540,2
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,5
549,0
550,0
551,0
552,0
553,189
554,0
555,0
556,38
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,3
572,7
573,0
574,9
575,0
576,5399
577,0
578,0
579,0
580,0
581,3
582,6
583,104
584,6
585,0
586,0
587,0
588,0
589,0
590,1792
591,0
592,0
593,0
594,0
595,0
596,0
597,1460
598,0
599,0
600,0
601,0
602,2
603,1459
604,0
605,0
606,0
607,7
608,0
609,1468
610,0
611,0
612,0
613,2
614,0
615,12
616,2
617,0
618,0
619,0
620,0
621,0
622,0
623,45
624,0
625,14
626,9
627,16
628,12
629,12
630,76
631,0
632,0
633,7
634,0
635,0
636,11502
637,6
638,0
639,0
640,0
641,1618
642,366
643,0
644,30
645,358
646,14
647,0
648,48
649,0
650,34
651,0
652,0
653,1600
654,0
655,0
656,0
657,6
658,0
659,0
660,0
661,0
662,11
663,80
664,0
665,78
666,2
667,56
668,0
669,0
670,0
671,10
672,409
673,23
674,18
675,1635
676,793
677,0
678,3161
679,3399
680,2
681,11
682,0
683,0
684,12464
685,0
686,6
687,0
688,0
689,7
690,636
691,0
692,0
693,5
694,4
695,3110
696,0
697,253
698,0
699,12
700,4
701,0
702,0
703,0
704,2206
705,0
706,5
707,0
708,0
709,0
710,0
711,2
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,34
720,0
721,0
722,0
723,0
724,5286
725,0
726,11
727,0
728,58164
729,2408
730,0
731,3050
732,1762
733,4
734,3781
735,3
736,952
737,0
738,0
739,13
740,3524
741,14
742,0
743,0
744,100
745,7
746,0
747,86
748,2159
749,3
750,10
751,26
752,94
753,1384
754,359
755,20
756,0
757,0
758,24
759,0
760,0
761,4
762,245
763,0
764,0
765,72690
766,2869
767,0
768,29
769,49
770,3599
771,3024
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,6
783,0
784,7
785,0
786,5864
787,42
788,279
789,4485
790,0
791,6
792,0
793,95
794,0
795,0
796,4
797,96
798,39
799,0
800,0
801,0
802,11174
803,0
804,4190
805,29
806,3580
807,5799
808,2758
809,1984
810,0
811,0
812,0
813,0
814,0
815,11900
816,9689
817,0
818,2
819,0
820,0
821,14
822,0
823,6
824,0
825,0
826,632
827,2185
828,155
