DAY,AMOUNT
1,3253
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1113
11,273
12,0
13,0
14,0
15,818
16,0
17,258
18,81
19,0
20,0
21,427
22,0
23,0
24,337
25,0
26,0
27,0
28,836
29,0
30,0
31,0
32,0
33,245
34,0
35,0
36,0
37,411
38,132
39,158
40,0
41,0
42,319
43,295
44,93
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,180
53,64
54,0
55,0
56,0
57,0
58,0
59,0
60,92
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,656
120,116
121,166
122,72
123,318
124,0
125,0
126,0
127,711
128,205
129,0
130,0
131,0
132,1018
133,0
134,197
135,0
136,268
137,4
138,6
139,0
140,910
141,513
142,0
143,627
144,189
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,1728
158,280
159,0
160,0
161,0
162,0
163,142
164,0
165,0
166,0
167,0
168,0
169,33
170,0
171,138
172,96
173,0
174,222
175,0
176,147
177,128
178,219
179,0
180,0
181,0
182,0
183,0
184,0
185,1463
186,0
187,0
188,0
189,0
190,620
191,211
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,381
206,0
207,0
208,0
209,0
210,0
211,318
212,288
213,0
214,0
215,0
216,0
217,0
218,757
219,24
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,1303
228,0
229,0
230,0
231,0
232,75
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,1792
247,289
248,169
249,497
250,0
251,0
252,842
253,172
254,0
255,150
256,0
257,0
258,0
259,153
260,70
261,7
262,38
263,288
264,0
265,0
266,240
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,394
275,10
276,0
277,0
278,0
279,0
280,750
281,369
282,397
283,424
284,267
285,0
286,0
287,1510
288,533
289,1041
290,155
291,143
292,0
293,0
294,0
295,898
296,0
297,520
298,175
299,0
300,0
301,1192
302,340
303,181
304,0
305,239
306,0
307,0
308,0
309,0
310,881
311,53
312,0
313,0
314,110
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,138
326,0
327,0
328,0
329,0
330,351
331,293
332,195
333,223
334,0
335,0
336,547
