DAY,AMOUNT
1,23315
2,4183
3,92
4,0
5,1900
6,0
7,5722
8,2311
9,1615
10,0
11,0
12,0
13,17
14,2731
15,97
16,0
17,0
18,0
19,1516
20,4313
21,279
22,801
23,1719
24,0
25,0
26,909
27,4961
28,4269
29,786
30,1613
31,0
32,0
33,2203
34,1492
35,14
36,817
37,1506
38,0
39,0
40,96
41,0
42,0
43,0
44,182
45,0
46,0
47,999
48,163
49,734
50,307
51,6
52,0
53,0
54,63
55,18
56,0
57,0
58,128
59,0
60,0
61,2868
62,501
63,1824
64,0
65,0
66,0
67,0
68,0
69,3
70,128
71,0
72,0
73,0
74,0
75,0
76,0
77,1168
78,56
79,0
80,0
81,0
82,60
83,78
84,0
85,242
86,1030
87,0
88,0
89,0
90,306
91,935
92,748
93,560
94,0
95,0
96,603
97,199
98,1202
99,808
100,10
101,0
102,0
103,0
104,58
105,488
106,0
107,0
108,0
109,0
110,430
111,0
112,472
113,252
114,0
115,0
116,0
117,416
118,486
119,1298
120,370
121,1049
122,222
123,82
124,768
125,201
126,486
127,3314
128,757
129,0
130,0
131,313
132,1533
133,296
134,34
135,120
136,0
137,0
138,100
139,316
140,405
141,237
142,2160
143,156
144,0
145,862
146,2577
147,730
148,3087
149,503
150,0
151,215
152,168
153,1415
154,520
155,1032
156,850
157,342
158,0
159,602
160,1227
161,241
162,427
163,33
164,236
165,414
166,160
167,627
168,500
169,1252
170,0
171,9
172,9
173,560
174,1252
175,474
176,244
177,683
178,0
179,0
180,1038
181,209
182,139
183,1021
184,608
185,0
186,0
187,873
188,5808
189,1109
190,5548
191,326
192,0
193,0
194,5195
195,2075
196,829
197,520
198,587
199,0
200,0
201,1033
202,1474
203,88
204,3
205,0
206,50
207,334
208,555
209,1998
210,533
211,2178
212,230
213,0
214,0
215,632
216,376
217,148
218,252
219,107
220,0
221,0
222,0
223,2765
224,133
225,1051
226,61
227,0
228,0
229,23
230,1323
231,178
232,329
233,665
234,0
235,0
236,124
237,7277
238,433
239,92
240,532
241,0
242,0
243,2800
244,411
245,243
246,371
247,4587
248,0
249,0
250,332
251,559
252,231
253,1079
254,109
255,0
256,0
257,199
258,1187
259,661
260,2843
261,163
262,0
263,0
264,596
265,64
266,1971
267,954
268,499
269,0
270,0
271,79
272,3062
273,4287
274,365
275,195
276,0
277,310
278,847
279,5133
280,679
281,95
282,532
283,0
284,0
285,40
286,936
287,421
288,257
289,1214
290,0
291,0
292,2265
293,480
294,452
295,2037
296,85
297,0
298,552
299,2069
300,336
301,548
302,380
303,545
304,0
305,0
306,68
307,46
308,35
309,46
310,661
311,0
312,0
313,119
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,3337
328,226
329,1125
330,1008
331,1314
332,0
333,0
334,622
335,154
336,0
337,777
338,9
339,0
340,0
341,13425
342,2477
343,320
344,932
345,341
346,0
347,129
348,682
349,46
350,95
351,144
352,2173
353,9
354,1340
355,277
356,22
357,214
358,30
359,0
360,0
361,0
362,783
363,870
364,1523
365,370
366,241
367,0
368,0
369,899
370,2
371,14
372,319
373,13
374,0
375,0
376,2292
377,90
378,347
379,867
380,83
381,141
382,452
383,364
384,221
385,6
386,163
387,1114
388,272
389,0
390,754
391,512
392,384
393,541
394,536
395,515
396,0
397,970
398,253
399,481
400,1442
401,638
402,31
403,1272
404,30
405,1076
406,126
407,236
408,569
409,0
410,129
411,120
412,156
413,0
414,333
415,99
416,6
417,433
418,73
419,495
420,323
421,1411
422,166
423,341
424,0
425,0
426,774
427,377
428,181
429,741
430,0
431,0
432,107
433,12
434,11
435,4171
436,302
437,0
438,0
439,0
440,72
441,0
442,257
443,50
444,0
445,0
446,1105
447,833
448,538
449,110
450,500
451,0
452,0
453,1465
454,34
455,0
456,265
457,824
458,0
459,0
460,611
461,729
462,399
463,0
464,0
465,0
466,0
467,184
468,73
469,1818
470,9
471,530
472,0
473,0
474,266
475,92
476,461
477,689
478,1063
479,0
480,0
481,72
482,252
483,204
484,14
485,58
486,0
487,0
488,585
489,24
490,0
491,775
492,0
493,0
494,0
495,2215
496,275
497,9
498,2
499,1146
500,0
501,0
502,0
503,207
504,91
505,625
506,195
507,0
508,0
509,417
510,1837
511,1001
512,831
513,244
514,0
515,0
516,83
517,1082
518,918
519,1043
520,127
521,0
522,0
523,676
524,1111
525,533
526,0
527,148
528,0
529,0
530,988
531,1714
532,0
533,0
534,0
535,0
536,0
537,192
538,179
539,246
540,0
541,0
542,0
543,0
544,0
545,314
546,243
547,27
548,10
549,0
550,0
551,0
552,21
553,0
554,322
555,15
556,0
557,0
558,172
559,4
560,175
561,78
562,0
563,0
564,0
565,261
566,127
567,0
568,885
569,35
570,0
571,0
572,0
573,0
574,0
575,689
576,78
577,0
578,0
579,28
580,121
581,447
582,157
583,0
584,0
585,0
586,0
587,641
588,2
589,189
590,108
591,0
592,0
593,3
594,41
595,431
596,78
597,34
598,0
599,0
600,317
601,371
602,117
603,185
604,17
605,0
606,0
607,0
608,151
609,0
610,1912
611,0
612,0
613,0
614,0
615,0
616,0
617,881
618,0
619,0
620,0
621,17
622,1035
623,41
624,0
625,0
626,0
627,0
628,30
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,97
640,0
641,0
642,35
643,291
644,39
645,393
646,970
647,0
648,0
649,357
650,43
651,0
652,161
653,4
654,0
655,0
656,543
657,139
658,0
659,274
660,145
661,0
662,0
663,6
664,116
665,90
666,8
667,39
668,0
669,0
670,88
671,0
672,0
673,52
674,137
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,186
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,686
706,0
707,18
708,283
709,1614
710,0
711,0
712,955
713,350
714,1097
715,478
716,2508
717,0
718,0
719,14
720,148
721,261
722,0
723,12843
724,0
725,0
726,0
727,25
728,796
729,0
730,133
731,0
732,0
733,55
734,192
735,1395
736,74
737,241
738,0
739,0
740,697
741,121
742,5
743,0
744,4
745,0
746,0
747,0
748,55
749,1226
750,12
751,0
752,0
753,0
754,495
755,2
756,381
757,131
758,0
759,0
760,0
761,831
762,0
763,0
764,0
765,0
766,129
767,16
768,18
769,602
770,1764
771,37
772,55
773,101
774,17
775,64
776,148
777,0
778,147
779,0
780,0
781,11
782,0
783,77
784,0
785,67
786,0
787,0
788,0
789,1461
790,741
791,12
792,0
793,0
794,0
795,152
796,114
797,95
798,104
799,35
800,0
801,0
802,42
803,1321
804,952
805,57
806,1729
807,659
808,0
809,0
810,354
811,0
812,462
813,0
814,135
815,0
816,0
817,147
818,51
819,1198
820,34
821,1438
822,0
823,0
824,5
825,452
826,38
827,355
828,722
829,0
830,0
831,59
832,0
833,1177
834,440
835,2649
836,0
837,0
838,265
839,731
840,427
841,1287
842,4217
843,0
844,0
845,0
846,108
847,0
848,775
849,302
850,4
851,0
852,12
853,147
854,214
855,139
856,62
857,71
858,213
859,420
860,288
861,0
862,148
863,1270
864,0
865,0
866,26
867,356
868,253
869,0
870,78
871,0
872,0
873,76
874,37
875,0
876,728
877,0
878,0
879,0
880,137
881,14
882,0
883,395
884,52
885,0
886,0
887,14
888,23
889,0
890,800
891,0
892,0
893,0
894,1981
895,623
896,132
897,66
898,36
899,54
900,317
901,0
902,2
903,6
904,1069
905,4
906,0
907,0
908,82
909,0
910,0
911,0
912,0
913,0
914,0
915,423
916,7
917,0
918,3
919,0
920,0
921,0
922,16
923,0
924,0
925,132
926,480
927,0
928,0
929,1178
930,177
931,283
932,299
933,284
934,0
935,0
936,0
937,2419
938,170
939,203
940,428
941,0
942,0
943,96
944,1080
945,94
946,321
947,84
948,0
949,0
950,0
951,415
952,11
953,0
954,1446
955,0
956,0
957,259
958,3078
959,1204
960,2
961,733
962,0
963,0
964,476
965,1424
966,9265
967,3571
968,1123
969,0
970,0
971,895
972,1036
973,1233
974,400
975,142
976,76
977,788
978,431
979,143
980,2965
981,16
982,0
983,207
984,0
985,160
986,98
987,0
988,163
989,43
990,0
991,0
992,94
993,216
994,145
995,2023
996,283
997,25
998,228
999,91
1000,74
1001,186
1002,41
1003,57
1004,0
1005,77
1006,504
1007,3413
1008,738
1009,92
1010,338
1011,17
1012,0
1013,104
1014,113
1015,111
1016,162
1017,161
1018,0
1019,0
1020,310
1021,1110
1022,310
1023,246
1024,397
1025,0
1026,0
1027,406
1028,112
1029,153
1030,620
1031,392
1032,3
1033,0
1034,349
1035,950
1036,111
1037,255
1038,10078
1039,0
1040,0
1041,977
1042,3
1043,978
1044,93
1045,1366
1046,0
1047,0
1048,0
1049,0
1050,11
1051,18
1052,0
1053,0
1054,0
1055,0
1056,472
1057,125
1058,0
1059,0
1060,180
1061,0
1062,813
1063,0
1064,468
1065,30
1066,351
1067,0
1068,0
1069,552
1070,931
1071,523
1072,712
1073,450
1074,0
1075,364
1076,32
1077,79
1078,29
1079,550
1080,195
1081,0
1082,0
1083,330
1084,4
1085,68
1086,20
1087,111
1088,0
1089,0
1090,168
1091,0
1092,155
1093,268
1094,313
1095,0
1096,0
1097,22
1098,427
1099,472
1100,34
1101,883
1102,0
1103,0
1104,78
1105,818
1106,894
1107,440
1108,170
1109,18
1110,0
1111,36
1112,10
1113,142
1114,47
1115,1676
1116,0
1117,1123
1118,453
1119,384
1120,1514
1121,1419
1122,295
1123,76
1124,83
1125,135
1126,812
1127,622
1128,102
1129,28
1130,165
1131,0
1132,446
1133,231
1134,69
1135,67
1136,859
1137,149
1138,0
1139,969
1140,187
1141,12
1142,882
1143,2691
1144,12
1145,1109
1146,79
1147,147
1148,357
1149,155
1150,0
1151,0
1152,0
1153,98
1154,1358
1155,225
1156,5
1157,0
1158,0
1159,0
1160,0
1161,0
1162,100
1163,401
1164,6
1165,0
1166,0
1167,165
1168,314
1169,301
1170,416
1171,409
1172,0
1173,4
1174,16
1175,0
1176,119
1177,302
1178,598
1179,0
1180,0
1181,964
1182,77
1183,91
1184,536
1185,253
1186,0
1187,0
1188,223
1189,183
1190,124
1191,187
1192,706
1193,0
1194,47
1195,211
1196,285
1197,205
1198,135
1199,154
1200,16
1201,0
1202,30
1203,80
1204,428
1205,629
1206,529
1207,0
1208,0
1209,0
1210,538
1211,1617
1212,1049
1213,0
1214,0
1215,14
1216,512
1217,409
1218,51
1219,601
1220,142
1221,25
1222,0
1223,313
1224,242
1225,5337
1226,493
1227,623
1228,0
1229,88
1230,82
1231,432
1232,608
1233,260
1234,1089
1235,214
1236,0
1237,197
1238,307
1239,202
1240,58
1241,161
1242,0
1243,0
1244,56
1245,391
1246,663
1247,713
1248,927
1249,0
1250,0
1251,49
1252,225
1253,961
1254,59
1255,5
1256,0
1257,0
1258,236
1259,475
1260,319
1261,72
1262,838
1263,0
1264,91
1265,4
1266,0
1267,115
1268,0
1269,37
1270,4
1271,0
1272,0
1273,0
1274,0
1275,2
1276,9
1277,0
1278,0
1279,735
1280,904
1281,149
1282,230
1283,424
1284,0
1285,0
1286,430
1287,159
1288,177
1289,339
1290,344
1291,0
1292,0
1293,98
1294,192
1295,706
1296,2328
1297,948
1298,38
1299,229
1300,456
1301,608
1302,1345
1303,505
1304,861
1305,3
1306,10
1307,399
1308,787
1309,35
1310,226
1311,39
1312,0
1313,0
1314,0
1315,354
1316,454
1317,1854
1318,714
1319,0
1320,4
1321,551
1322,1194
1323,299
1324,99
1325,1583
1326,197
1327,0
1328,39
1329,787
1330,3090
1331,655
1332,401
1333,129
1334,785
1335,362
1336,1361
1337,240
1338,477
1339,210
1340,416
1341,151
1342,432
1343,212
1344,400
1345,592
1346,586
1347,20
1348,0
1349,52
1350,221
1351,45
1352,852
1353,339
1354,29
1355,74
1356,350
1357,261
1358,1026
1359,286
1360,372
1361,0
1362,665
1363,193
1364,220
1365,360
1366,232
1367,463
1368,268
1369,299
1370,840
1371,369
1372,147
1373,319
1374,213
1375,0
1376,9
1377,29
1378,518
1379,127
1380,249
1381,59
1382,337
1383,36
1384,1812
1385,547
1386,570
1387,121
1388,144
1389,31
1390,387
1391,463
1392,25
1393,40
1394,249
1395,519
1396,11
1397,14
1398,190
1399,616
1400,215
1401,19
1402,58
1403,0
1404,0
1405,0
1406,71
1407,0
1408,519
1409,861
1410,0
1411,0
1412,331
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,816
1421,2961
1422,302
1423,99
1424,22
1425,125
1426,49
1427,52
1428,446
1429,0
1430,11
1431,0
1432,134
1433,149
1434,195
1435,2404
1436,196
1437,338
1438,0
1439,247
1440,946
1441,519
1442,149
1443,232
1444,4
1445,0
1446,0
1447,195
1448,379
1449,414
1450,284
1451,634
1452,266
1453,36
1454,1468
1455,4057
1456,32698
1457,406
1458,1415
1459,0
1460,50
1461,122
1462,666
1463,87
1464,367
1465,130
1466,2
1467,40
1468,3048
1469,738
1470,964
1471,0
1472,120
1473,0
1474,81
1475,602
1476,396
1477,411
1478,124
1479,467
1480,58
1481,6
1482,227
1483,225
1484,122
1485,276
1486,32
1487,0
1488,0
1489,94
1490,103
1491,177
1492,6
1493,468
1494,0
1495,0
1496,552
1497,489
1498,748
1499,1752
1500,310
1501,169
1502,0
1503,99
1504,110
1505,1625
1506,19
1507,714
