NOD, CD, RCD, BFN, TAP, LCP, DC, NR, FN
arduino_Arduino, 190, 20, 0.08130081300813008, 0.9186991869918699, 0.6404928161328451, 0.0, 7.3052631578947365, 0, 0
audacity_audacity, 75, 6, 0.047619047619047616, 0.9523809523809523, 0.42817544032959054, 0.0, 333.17333333333335, 0, 0
bardsoftware_ganttproject, 41, 2, 0.05714285714285714, 0.9428571428571428, 0.5997648165593855, 0.0, 7.219512195121951, 0, 0
capistrano_capistrano, 231, 9, 0.04128440366972477, 0.9587155963302753, 0.8216849506333075, 0.0, 29.93073593073593, 0, 0
cloudera_hue, 89, 12, 0.057692307692307696, 0.9423076923076923, 0.4469023076906299, 0.0, 191.07865168539325, 0, 0
floweisshardt_atf, 11, 2, 0.2, 0.8, 0.29038422373820566, 0.0, 4.0, 0, 0
nginx_nginx, 75, 4, 0.07272727272727272, 0.9272727272727272, 0.6459905409271695, 0.0, 29.04, 0, 0
scala_scala, 557, 36, 0.0972972972972973, 0.9027027027027027, 0.5720302792875697, 0.0, 175.91741472172353, 0, 0
Squirrel_Squirrel.Windows, 107, 7, 0.0660377358490566, 0.9339622641509434, 0.703535847544402, 0.0, 14.63551401869159, 0, 0
tensorflow_tensorflow, 1592, 84, 0.2074074074074074, 0.7925925925925926, 0.5972176672913536, 5.04292262192526, 10.06030150753769, 150, 9
torakiki_pdfsam, 11, 1, 0.125, 0.875, 0.6880302808356489, 0.0, 1.2727272727272727, 0, 0
tornadoweb_tornado, 367, 12, 0.03592814371257485, 0.9640718562874252, 0.7583378563502987, 0.0, 43.66212534059945, 0, 0
